Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time,Market Cap,,3 months ago
ROL,Rollins Inc,43.06,0.29,0.68%,43.35,42.78,616600,07/02/20,14114000000,0.05%,
DOV,Dover Corp,97.42,1.82,1.90%,99.08,96.82,852500,07/02/20,14023000000,0.05%,
KSU,Kansas City Southern,147.18,2.58,1.78%,149.29,146.2,736300,07/02/20,13985000000,0.05%,
EVRG,Evergy Inc,61.46,0.45,0.74%,62.03,61.22,1273900,07/02/20,13935000000,0.05%,
VTR,Ventas Inc,37.29,-1.03,-2.69%,39.44,36.91,3032300,07/02/20,13912000000,0.05%,
IP,International Paper Company,35.35,0.54,1.55%,35.8,35.03,2051900,07/02/20,13894000000,0.05%,
IFF,International Flavors & Fragrances,126.88,2.71,2.18%,127.49,125.38,960300,07/02/20,13568000000,0.05%,
ZBRA,Zebra Technologies,255.04,3.81,1.52%,259.73,254.35,228600,07/02/20,13540000000,0.05%,
BIO,Bio-Rad Laboratories,458.36,3.93,0.86%,463.56,455.53,167100,07/02/20,13500000000,0.05%,
MAA,Mid-America Apartment Communities,117.53,-0.14,-0.12%,119.56,116.32,601400,07/02/20,13440000000,0.05%,
HIG,Hartford Financial Services Group,37.5,-0.2,-0.53%,39.06,37.35,2049300,07/02/20,13428000000,0.05%,
DRE,Duke Realty Corp,36.26,0.14,0.39%,36.71,36.04,1435200,07/02/20,13358000000,0.05%,
OKE,Oneok Inc,32.15,-0.03,-0.09%,33.47,32,3519100,07/02/20,13314000000,0.05%,
LDOS,Leidos Holdings Inc,93.64,0.33,0.35%,95.28,93.51,763800,07/02/20,13301000000,0.05%,
MLM,Martin Marietta Materials,213.49,4.52,2.16%,217.4,209.47,803700,07/02/20,13288000000,0.05%,
MAS,Masco Corp,50.14,0.49,0.99%,50.96,49.82,2163100,07/02/20,13225000000,0.05%,
FITB,Fifth Third Bncp,18.57,0.14,0.73%,19.36,18.5,8235101,07/02/20,13220000000,0.05%,
FMC,FMC Corp,101.14,1.78,1.79%,101.86,99.84,816200,07/02/20,13092000000,0.05%,
STE,Steris Corp,154.01,-0.27,-0.18%,157.13,153.57,585700,07/02/20,13083000000,0.05%,
MTB,M&T Bank Corp,100.59,-0.72,-0.71%,105.33,100.08,582000,07/02/20,12903000000,0.04%,
EXPD,Expeditors Intl,77.15,0.96,1.26%,77.53,76.31,830500,07/02/20,12840000000,0.04%,
SYF,Synchrony Financial,21.86,0.25,1.16%,22.83,21.8,7211900,07/02/20,12760000000,0.04%,
WDC,Western Digital Cp,42.44,-0.01,-0.02%,43.39,42.19,3900200,07/02/20,12719000000,0.04%,
QRVO,Qorvo Inc,110.3,2.04,1.88%,111.55,109.15,897800,07/02/20,12621000000,0.04%,
EXR,Extra Space Storage Inc,97.25,0.29,0.30%,98.7,96.71,755800,07/02/20,12554000000,0.04%,
GPC,Genuine Parts Company,86.84,0.94,1.09%,88.98,86.09,696900,07/02/20,12528000000,0.04%,
JBHT,J B Hunt Transport,118.26,0.61,0.52%,119.74,117.89,563200,07/02/20,12472000000,0.04%,
NUE,Nucor Corp,41.4,1.02,2.53%,42.1,41.14,2072000,07/02/20,12467000000,0.04%,
CCL,Carnival Corp,15.88,-0.48,-2.93%,17.17,15.8,30023301,07/02/20,12422000000,0.04%,
ATO,Atmos Energy Corp,101.18,0.49,0.49%,102.17,100.86,405800,07/02/20,12376000000,0.04%,
LNT,Alliant Energy Corp,49.42,0.66,1.35%,49.63,49.09,1148000,07/02/20,12330000000,0.04%,
STX,Seagate Tech Ord Shs,47.34,0.04,0.08%,48.22,47.25,2548100,07/02/20,12149000000,0.04%,
HPE,Hewlett Packard Enterprise Comp,9.41,-0.01,-0.11%,9.74,9.38,9606100,07/02/20,12090000000,0.04%,
SJM,J.M. Smucker Company,105.02,-0.2,-0.19%,106.04,104.15,927600,07/02/20,11984000000,0.04%,
EXPE,Expedia Group Inc,84.89,0.45,0.53%,88.08,83.47,2916400,07/02/20,11968000000,0.04%,
IEX,Idex Corp,157.89,2.05,1.32%,160,156.88,347100,07/02/20,11904000000,0.04%,
ABMD,Abiomed Inc,263.84,8.62,3.38%,266.35,255.43,518800,07/02/20,11884000000,0.04%,
IR,Ingersoll Rand Inc.,28.46,0.42,1.50%,29.22,28.35,3861300,07/02/20,11856000000,0.04%,
NLOK,Nortonlifelock Inc.,20.01,0.24,1.21%,20.21,19.74,7371100,07/02/20,11786000000,0.04%,
XYL,Xylem Inc,65.42,1.77,2.78%,66.19,64.45,1294400,07/02/20,11770000000,0.04%,
OMC,Omnicom Group Inc,54.61,0.07,0.13%,55.94,54.36,1689100,07/02/20,11702000000,0.04%,
NVR,NVR Inc,3170,-15.9,-0.50%,3274,3158.88,26300,07/02/20,11668000000,0.04%,
ULTA,Ulta Beauty Inc,203.59,0.02,0.01%,208.43,202.1,789500,07/02/20,11464000000,0.04%,
KEY,Keycorp,11.71,0.02,0.17%,12.21,11.6,14911700,07/02/20,11422000000,0.04%,
UDR,United Dominion Realty Trust,38.57,-0.32,-0.82%,39.82,38.49,1207600,07/02/20,11374000000,0.04%,
WAT,Waters Corp,180.82,0.67,0.37%,183.8,180.7,438100,07/02/20,11194000000,0.04%,
PFG,Principal Financial Group Inc,40.79,0.63,1.57%,42.39,40.66,1495300,07/02/20,11171000000,0.04%,
WAB,Wabtec Corp,58.68,0.68,1.17%,61.04,58.53,1404100,07/02/20,11166000000,0.04%,
J,Jacobs Engineering Group Inc,85.66,1.76,2.10%,86.49,84.65,915200,07/02/20,11145000000,0.04%,
VAR,Varian Medical Systems,122.39,0.87,0.72%,124.67,122.18,507400,07/02/20,11115000000,0.04%,
HAL,Halliburton Company,12.57,0.1,0.80%,13.11,12.56,15125100,07/02/20,11027000000,0.04%,
TDY,Teledyne Technologies Inc,298.45,-5.74,-1.89%,306.95,298.01,363700,07/02/20,10942000000,0.04%,
PKI,Perkinelmer,97.94,0.85,0.88%,99.42,97.67,748700,07/02/20,10909000000,0.04%,
ETFC,E*Trade Finl Corp,49.28,0.21,0.43%,50.57,49.19,1941900,07/02/20,10895000000,0.04%,
CTL,Centurylink,9.79,-0.08,-0.81%,10.09,9.77,9556199,07/02/20,10745000000,0.04%,
SIVB,Svb Financial Group,208.34,2.06,1.00%,215.94,206,294400,07/02/20,10732000000,0.04%,
IT,Gartner Inc,120.33,0.3,0.25%,122.82,119.74,328000,07/02/20,10730000000,0.04%,
CHRW,C.H. Robinson Ww,79.18,0.09,0.11%,79.84,78.47,2571800,07/02/20,10658000000,0.04%,
URI,United Rentals,147.91,2.11,1.45%,152.88,147.08,1019200,07/02/20,10657000000,0.04%,
CE,Celanese Corp,88.47,2.74,3.20%,89.78,87.31,885200,07/02/20,10460000000,0.04%,
CBOE,CBOE Global Markets Inc,95.09,-1.37,-1.42%,97.79,94.22,658100,07/02/20,10445000000,0.04%,
CINF,Cincinnati Financial,64.87,0.77,1.20%,66.81,64.34,1461000,07/02/20,10431000000,0.04%,
RCL,Royal Caribbean Cruises Ltd,49.51,-1.32,-2.60%,53.62,49.36,13823700,07/02/20,10367000000,0.04%,
HAS,Hasbro Inc,74.6,-0.09,-0.12%,76.98,74.33,692500,07/02/20,10221000000,0.04%,
RF,Regions Financial Corp,10.6,-0.03,-0.28%,11.15,10.53,13439801,07/02/20,10173000000,0.04%,
CFG,Citizens Financial Group Inc/Ri,23.76,-0.47,-1.94%,25.14,23.64,6692200,07/02/20,10136000000,0.04%,
CXO,Concho Resources Inc,51.47,0.6,1.18%,52.56,51.2,2084100,07/02/20,10124000000,0.04%,
BEN,Franklin Resources,20.38,0.18,0.89%,21,20.31,2559600,07/02/20,10094000000,0.04%,
WRB,W.R. Berkley Corp,56.47,-0.56,-0.98%,58.53,56.36,550500,07/02/20,10093000000,0.04%,
DISCA,Discovery Comm A,20.79,-0.27,-1.31%,21.75,20.7,3699200,07/02/20,10004000000,0.03%,
DISCK,Discovery Comm Inc,18.93,-0.32,-1.64%,19.84,18.88,1481900,07/02/20,10004000000,0.03%,
UAL,United Continental Holdings,34.14,-0.31,-0.90%,36.08,33.95,53576602,07/02/20,9916000000,0.03%,
DVA,Davita Healthcare Partners Inc,81.05,0.41,0.51%,82.68,80.79,880400,07/02/20,9872000000,0.03%,
AAP,Advance Auto Parts Inc,141.84,-0.11,-0.08%,145.61,140.3,466900,07/02/20,9801000000,0.03%,
CNP,Centerpoint Energy Inc,19.46,0.19,0.99%,19.77,19.4,7950000,07/02/20,9782000000,0.03%,
LYV,Live Nation Entertainment,45.36,-0.66,-1.43%,47.36,45.12,1748800,07/02/20,9764000000,0.03%,
AVY,Avery Dennison Corp,117,2.98,2.61%,117.56,114.64,728300,07/02/20,9751000000,0.03%,
DRI,Darden Restaurants,74.78,-1.33,-1.75%,78.1,74.08,3669800,07/02/20,9708000000,0.03%,
XRAY,Dentsply Sirona Inc,44.18,-0.77,-1.71%,45.72,44.03,1170400,07/02/20,9679000000,0.03%,
NTAP,Netapp Inc,43.55,0.04,0.09%,44.46,43.47,1647100,07/02/20,9660000000,0.03%,
EMN,Eastman Chemical Company,69.98,1.28,1.86%,71.59,69.19,1019300,07/02/20,9510000000,0.03%,
L,Loews Corp,33.69,0.15,0.45%,34.97,33.56,991900,07/02/20,9481000000,0.03%,
PKG,Packaging Corp of America,99.65,0.28,0.28%,101.02,98.54,906000,07/02/20,9451000000,0.03%,
ALLE,Allegion Plc,102.39,0.5,0.49%,104.6,102.3,452900,07/02/20,9442000000,0.03%,
LW,Lamb Weston Holdings Inc,63.46,0.04,0.06%,64.71,63.28,757200,07/02/20,9268000000,0.03%,
RJF,Raymond James Financial,67.53,0.43,0.64%,69.56,67.3,568000,07/02/20,9254000000,0.03%,
NI,NiSource Inc,23.36,-0.1,-0.43%,23.78,23.3,2353900,07/02/20,8942000000,0.03%,
WU,Western Union Company,21.55,-0.14,-0.65%,22,21.49,3985600,07/02/20,8855000000,0.03%,
PHM,Pultegroup,32.88,-0.1,-0.30%,34.13,32.72,2497600,07/02/20,8817000000,0.03%,
HBAN,Huntington Bcshs,8.6,-0.03,-0.41%,9.01,8.55,13712500,07/02/20,8722000000,0.03%,
FBHS,Fortune Brands Home & Security,62.69,0.3,0.48%,64.71,62.2,723500,07/02/20,8648000000,0.03%,
PNW,Pinnacle West Capital Corp,76.03,0.64,0.85%,77.11,75.51,1001100,07/02/20,8553000000,0.03%,
IPGP,Ipg Photonics Corp,159.08,3.3,2.12%,162.4,156.54,291200,07/02/20,8436000000,0.03%,
FFIV,F5 Networks Inc,138.52,1.21,0.88%,140.07,137.92,525100,07/02/20,8435000000,0.03%,
HSIC,Henry Schein Inc,59.07,0.21,0.36%,60.43,58.97,1144300,07/02/20,8433000000,0.03%,
ALB,Albemarle Corp,78.56,2.5,3.29%,79.64,77.64,886000,07/02/20,8352000000,0.03%,
WYNN,Wynn Resorts Ltd,77.32,3.53,4.78%,78.35,75.13,6267200,07/02/20,8340000000,0.03%,
MGM,MGM Resorts International,16.86,0.09,0.54%,17.59,16.75,17438301,07/02/20,8316000000,0.03%,
MYL,Mylan NV Ord Shs,15.93,0.18,1.11%,16.16,15.76,4869900,07/02/20,8235000000,0.03%,
RE,Everest Re Group,200.95,-2.94,-1.44%,208.2,200.44,258100,07/02/20,8035000000,0.03%,
WHR,Whirlpool Corp,129.18,2.14,1.68%,132.13,127.07,556100,07/02/20,8030000000,0.03%,
NRG,NRG Energy,32.79,-0.36,-1.09%,33.86,32.68,1847200,07/02/20,8004000000,0.03%,
UHS,Universal Health Services,93.61,0.43,0.46%,98.39,93.34,1077600,07/02/20,7950000000,0.03%,
LKQ,LKQ Corp,25.9,0.82,3.27%,26.6,25.25,2097000,07/02/20,7873000000,0.03%,
REG,Regency Centers Corp,45.73,-0.44,-0.95%,47.81,45.38,685700,07/02/20,7757000000,0.03%,
GL,Globe Life Inc,72.53,-0.27,-0.37%,75.04,72.29,424200,07/02/20,7720000000,0.03%,
HST,Host Marriott Financial Trust,10.95,0.06,0.55%,11.38,10.84,7231300,07/02/20,7719000000,0.03%,
TAP,Molson Coors Brewing Company,35.34,0.28,0.80%,36.14,35.16,1441200,07/02/20,7709000000,0.03%,
AOS,Smith [A.O.] Corp,47.32,1.02,2.20%,47.77,46.74,1072800,07/02/20,7625000000,0.03%,
IRM,Iron Mountain Inc,26.16,-0.09,-0.34%,26.66,25.95,2705100,07/02/20,7531000000,0.03%,
PRGO,Perrigo Company,55.19,0.36,0.66%,56.68,55.03,1000100,07/02/20,7523000000,0.03%,
JNPR,Juniper Networks,22.54,-0.01,-0.04%,22.83,22.52,3177400,07/02/20,7469000000,0.03%,
SNA,Snap-On Inc,135.99,1.87,1.39%,138.76,135.11,519600,07/02/20,7392000000,0.03%,
TXT,Textron Inc,32.45,0.53,1.66%,33.7,32.36,1007100,07/02/20,7381000000,0.03%,
WRK,Westrock Company,28.2,0.54,1.95%,28.39,27.91,2282200,07/02/20,7311000000,0.03%,
BWA,Borgwarner Inc,35.19,0.95,2.77%,35.96,34.78,2545900,07/02/20,7295000000,0.03%,
VNO,Vornado Realty Trust,38.12,-0.51,-1.32%,39.98,37.98,1059000,07/02/20,7285000000,0.03%,
NWS,News Cp Cl B,12.1,-0.02,-0.17%,12.38,12.06,343200,07/02/20,7093000000,0.02%,
NWSA,News Cp Cl A,12.03,-0.05,-0.41%,12.33,12,1612800,07/02/20,7093000000,0.02%,
COG,Cabot Oil & Gas Corp,17.74,0.74,4.35%,17.95,17.27,4322900,07/02/20,7071000000,0.02%,
MHK,Mohawk Industries,99.21,1.7,1.74%,102.88,97.88,542400,07/02/20,7062000000,0.02%,
HII,Huntington Ingalls Industries,173.11,-0.62,-0.36%,176.94,172.62,233200,07/02/20,7007000000,0.02%,
NWL,Newell Rubbermaid Inc,15.97,0.19,1.20%,16.49,15.94,2235300,07/02/20,6773000000,0.02%,
LNC,Lincoln National Corp,34.61,-0.06,-0.17%,36.97,34.5,2562000,07/02/20,6687000000,0.02%,
HWM,Howmet Aerospace Inc.,15.31,0.03,0.20%,15.87,15.16,4617200,07/02/20,6677000000,0.02%,
IPG,Interpublic Group of Companies,17.06,0,0.00%,17.5,16.88,2553300,07/02/20,6647000000,0.02%,
FANG,Diamondback Energy,41.56,1.96,4.95%,42.54,40.32,3305800,07/02/20,6559000000,0.02%,
FRT,Federal Realty Investment Trust,85.54,-1.92,-2.20%,90.09,84.85,337000,07/02/20,6470000000,0.02%,
AAL,American Airlines Gp,12.5,-0.31,-2.42%,13.42,12.42,86439508,07/02/20,6351000000,0.02%,
CF,Cf Industries Holdings,29.38,0.84,2.94%,29.89,29.02,1956700,07/02/20,6281000000,0.02%,
PNR,Pentair Ltd,37.42,0.51,1.38%,38.2,37,771100,07/02/20,6201000000,0.02%,
AIZ,Assurant Inc,100.5,-0.57,-0.56%,103.97,100.38,375400,07/02/20,5995000000,0.02%,
RHI,Robert Half International Inc,51.72,0.23,0.45%,53.19,51.64,815000,07/02/20,5927000000,0.02%,
AIV,Apartment Investment and Management,39.06,0.25,0.64%,39.86,38.63,961900,07/02/20,5815000000,0.02%,
KIM,Kimco Realty Corp,12.76,-0.15,-1.16%,13.46,12.73,3600600,07/02/20,5519000000,0.02%,
FLIR,Flir Systems Inc,42.16,1.3,3.18%,42.74,41.26,2201700,07/02/20,5516000000,0.02%,
PWR,Quanta Services,38.87,0.53,1.38%,39.72,38.79,1032100,07/02/20,5350000000,0.02%,
ZION,Zions Bancorp,32.41,-0.14,-0.43%,33.81,32.26,1605800,07/02/20,5311000000,0.02%,
NLSN,Nielsen Holdings Plc,14.72,0.09,0.62%,15.12,14.6,1913600,07/02/20,5247000000,0.02%,
SEE,Sealed Air Corp,33.5,1.1,3.40%,33.94,32.84,1241100,07/02/20,5215000000,0.02%,
RL,Ralph Lauren Corp,70.75,0.08,0.11%,73.67,70.61,723300,07/02/20,5141000000,0.02%,
APA,Apache Corp,13.26,0.27,2.04%,13.94,13.18,14346400,07/02/20,5005000000,0.02%,
CMA,Comerica Inc,35.27,-0.67,-1.86%,37.85,35.08,1889500,07/02/20,4904000000,0.02%,
MOS,Mosaic Company,12.85,0.48,3.88%,13.35,12.71,4938000,07/02/20,4870000000,0.02%,
IVZ,Invesco Plc,10.55,0.29,2.83%,10.76,10.45,6723200,07/02/20,4841000000,0.02%,
MRO,Marathon Oil Corp,6.12,0.17,2.86%,6.27,6,28867998,07/02/20,4837000000,0.02%,
PBCT,People's United Finl,11.18,-0.03,-0.27%,11.74,11.13,4493000,07/02/20,4748000000,0.02%,
NOV,National-Oilwell,12.1,0.29,2.46%,12.49,12.09,5061400,07/02/20,4697000000,0.02%,
GPS,Gap Inc,12.28,-0.19,-1.52%,12.99,12.03,15004000,07/02/20,4586000000,0.02%,
NBL,Noble Energy Inc,9.55,0.69,7.79%,9.65,9.1,11390800,07/02/20,4581000000,0.02%,
LEG,Leggett & Platt Inc,34.34,-0.04,-0.12%,35.92,34.13,693700,07/02/20,4542000000,0.02%,
ALK,Alaska Air Group,36.49,0.79,2.21%,37.49,36.27,2753400,07/02/20,4473000000,0.02%,
HFC,Hollyfrontier Corp,27.22,-0.49,-1.77%,28.76,27.18,1721000,07/02/20,4407000000,0.02%,
DVN,Devon Energy Corp,11.24,0.14,1.26%,11.66,11.14,8120800,07/02/20,4302000000,0.01%,
LB,L Brands Inc,15.11,0.01,0.07%,15.81,14.83,4468400,07/02/20,4198000000,0.01%,
UAA,Under Armour,9.58,0.01,0.10%,10,9.53,5462900,07/02/20,4142000000,0.01%,
UA,Under Armour Inc Cl C,8.68,0.03,0.35%,9.01,8.62,4753300,07/02/20,4142000000,0.01%,
DXC,Dxc Technology Company,16.15,0.01,0.06%,17.06,16.09,3522300,07/02/20,4098000000,0.01%,
NCLH,Norwegian Cruise Ord,15.97,-0.45,-2.74%,17.36,15.86,42555102,07/02/20,4094000000,0.01%,
HBI,Hanesbrands Inc,11.46,0.4,3.62%,11.88,11.33,7614400,07/02/20,3988000000,0.01%,
SLG,SL Green Realty Corp,49.92,1.38,2.84%,51.05,49.03,1663100,07/02/20,3821000000,0.01%,
FLS,Flowserve Corp,28.34,0.71,2.57%,29.51,28.02,939400,07/02/20,3688000000,0.01%,
TPR,Tapestry Inc,13.01,0.04,0.31%,13.62,12.92,5687900,07/02/20,3592000000,0.01%,
COTY,Coty Inc,4.45,0.13,3.01%,4.59,4.37,12769999,07/02/20,3396000000,0.01%,
PVH,Phillips-Van Heusen Corp,47.46,0.77,1.65%,49.29,46.58,1507200,07/02/20,3372000000,0.01%,
XRX,Xerox Corp,15.73,0.58,3.83%,16.16,15.45,4470500,07/02/20,3349000000,0.01%,
FTI,Technipfmc Plc,7.28,0.37,5.35%,7.47,7.13,6628500,07/02/20,3288000000,0.01%,
UNM,Unumprovident Corp,16.1,0.2,1.26%,16.85,16.06,2185000,07/02/20,3275000000,0.01%,
KSS,Kohl's Corp,20.58,0.48,2.39%,21.1,20.16,6942000,07/02/20,3246000000,0.01%,
CDNS,Cadence Design Sys,97.82,0.75,0.77%,98.81,96.93,2087900,07/02/20,2731000000,0.01%,
HRB,H&R Block,13.94,-0.06,-0.43%,14.51,13.91,2676700,07/02/20,2683000000,0.01%,
,,,,,,,,,28728840000000,100.0%,8903490000000